school sex age address famsize Pstatus Medu Fedu Mjob Fjob reason guardian traveltime studytime failures schoolsup famsup paid activities nursery higher internet romantic famrel freetime goout Dalc Walc health absences FailHigh alcSudyTime parentsEdu G1 G2 G3 GC1 GC2 GC3
GP F 18 U GT3 A 4 4 at_home teacher course mother 2 2 0 yes no no no yes yes no no 4 3 4 1 1 3 4 3,16494845360825 2,50375939849624 3,04123711340206 0 0,55 0,55 fail sufficient sufficient
GP F 18 U GT3 T 2 1 services other reputation mother 1 2 3 no yes no yes yes no yes yes 5 4 5 1 3 5 10 3,88659793814433 6,50877192982456 4,72164948453608 0,5 0,45 0,4 fail fail fail
GP F 17 U LE3 A 2 1 other other course mother 3 1 0 no yes no no yes yes yes no 3 2 2 1 2 5 8 1,72164948453608 5,00751879699248 4,18041237113402 0,55 0,5 0,55 sufficient fail sufficient
GP F 15 U GT3 T 1 1 at_home other course mother 3 1 0 no yes no yes no yes yes yes 4 3 3 1 2 4 6 2,44329896907217 4,00501253132832 3,61082474226804 0,55 0,6 0,65 sufficient satisfactory satisfactory
GP F 17 U LE3 T 2 2 other other course father 1 1 0 no yes no no yes yes yes yes 3 4 4 1 3 5 2 3,16494845360825 2,49874686716792 4,54123711340206 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U GT3 A 3 4 services other course father 1 1 0 no no no no yes yes yes no 3 2 1 1 4 5 12 1 8,01002506265664 4 0,75 0,65 0,7 good satisfactory satisfactory
GP M 16 U GT3 T 2 1 at_home other course mother 4 1 0 no no no no yes yes no no 3 2 1 1 1 2 4 1 2,50375939849624 1,75 0,45 0,45 0,55 fail fail sufficient
GP F 16 U GT3 A 2 2 other other home mother 1 1 1 no no no no yes yes no no 5 3 4 1 1 5 12 3,16494845360825 6,51378446115288 4,54123711340206 0,65 0,55 0,55 satisfactory sufficient sufficient
GP M 15 R GT3 T 3 4 at_home teacher course mother 4 2 0 no yes no no yes yes no yes 5 3 3 1 1 5 2 2,44329896907217 1,50125313283208 4,36082474226804 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 15 U GT3 T 4 4 services at_home course mother 1 3 0 no yes no yes yes yes yes yes 4 3 3 1 1 5 4 2,44329896907217 2,50375939849624 4,36082474226804 0,65 0,7 0,75 satisfactory satisfactory good
GP M 17 R GT3 T 3 4 at_home other course mother 3 2 0 no no no no yes yes no no 5 4 5 2 4 5 2 4,16494845360825 2,99749373433584 4,79123711340206 0,5 0,45 0,5 fail fail fail
GP F 16 R GT3 T 1 1 at_home other course mother 4 2 0 no yes no no yes yes no no 5 1 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP M 18 U LE3 T 3 1 services services course mother 2 1 0 no no no yes yes yes yes yes 3 3 4 4 5 4 2 4 3,49624060150376 4 0,55 0,55 0,6 sufficient sufficient satisfactory
GP F 18 U GT3 A 3 2 other services course other 1 3 0 no yes no yes no yes yes yes 4 3 3 5 1 5 10 3,55670103092783 5,51127819548872 4,63917525773196 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 16 R GT3 T 1 1 other services reputation mother 2 1 0 no yes no yes yes yes no yes 3 3 3 1 2 1 8 2,44329896907217 5,00751879699248 1,36082474226804 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 16 U GT3 A 3 3 other other course other 2 1 0 no yes no yes no yes yes yes 4 3 2 1 1 5 4 1,72164948453608 2,50375939849624 4,18041237113402 0,45 0,45 0,5 fail fail fail
GP M 16 U LE3 T 1 1 services other course mother 1 2 2 no no no no yes yes no yes 4 4 4 1 3 5 0 3,16494845360825 1,49624060150376 4,54123711340206 0,5 0,5 0,5 fail fail fail
GP F 15 U GT3 T 4 4 teacher teacher course mother 2 1 0 no no no yes yes yes yes no 4 3 2 1 1 5 6 1,72164948453608 3,5062656641604 4,18041237113402 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP F 15 R GT3 T 1 1 other other course mother 3 1 1 no no no yes yes yes yes yes 5 5 5 1 1 1 2 3,88659793814433 1,50125313283208 1,72164948453608 0,4 0,45 0,45 fail fail fail
GP M 15 U GT3 T 4 3 teacher services course father 2 4 0 yes yes no no yes yes yes no 2 2 2 1 1 3 6 1,72164948453608 3,5062656641604 2,68041237113402 0,45 0,55 0,55 fail sufficient sufficient
GP F 15 U GT3 A 3 3 services services home mother 1 2 0 no no no no no yes no yes 1 3 2 2 3 1 24 2 13,5263157894737 1,25 0,45 0,4 0,45 fail fail fail
GP M 16 U GT3 T 4 4 services services course mother 1 3 0 no yes no yes yes yes yes no 5 3 3 1 3 5 0 2,44329896907217 1,49624060150376 4,36082474226804 0,75 0,65 0,65 good satisfactory satisfactory
GP M 16 U LE3 T 2 2 services services reputation father 2 1 0 no yes no yes yes yes yes no 2 3 3 2 2 2 4 2,72164948453608 3,00250626566416 2,18041237113402 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 15 U GT3 T 4 4 teacher services course mother 1 3 0 no yes no yes yes yes yes no 4 2 2 1 1 5 2 1,72164948453608 1,50125313283208 4,18041237113402 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 1 1 at_home at_home course mother 1 1 0 no no no no yes yes yes no 3 4 4 3 3 1 4 3,72164948453608 3,50125313283208 1,68041237113402 0,5 0,55 0,55 fail sufficient sufficient
GP M 17 U GT3 T 2 1 other other home mother 1 1 0 no yes no no yes yes yes no 5 4 5 1 2 5 22 3,88659793814433 12,0250626566416 4,72164948453608 0,45 0,35 0,3 fail fail fail
GP F 15 U GT3 T 1 1 other services course father 1 2 0 no yes no no yes yes yes no 4 4 2 1 2 5 0 1,72164948453608 0,99749373433584 4,18041237113402 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP F 15 U LE3 A 2 1 at_home other home mother 2 1 0 no yes no yes yes no yes yes 4 4 2 1 1 5 0 1,72164948453608 0,49874686716792 4,18041237113402 0,55 0,5 0,5 sufficient fail fail
GP F 15 U GT3 T 3 2 health services home father 1 2 1 no yes no no yes yes yes no 3 3 2 1 1 3 2 1,72164948453608 1,50125313283208 2,68041237113402 0,55 0,55 0,55 sufficient sufficient sufficient
GP F 15 U GT3 T 1 2 at_home other course mother 1 2 0 no yes no no no yes yes no 4 3 2 1 1 5 6 1,72164948453608 3,5062656641604 4,18041237113402 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 15 U GT3 T 1 2 at_home services course father 1 2 0 no no no no no yes no yes 2 3 4 2 4 1 6 3,44329896907217 5,00250626566416 1,61082474226804 0,55 0,55 0,55 sufficient sufficient sufficient
GP M 16 U GT3 T 4 4 teacher teacher course mother 1 1 0 no yes no no yes no yes yes 3 3 2 2 1 5 16 2 8,5187969924812 4,25 0,45 0,45 0,4 fail fail fail
GP M 15 U LE3 A 2 1 services other course mother 4 1 0 no no no no yes yes yes no 4 5 5 2 5 5 0 4,16494845360825 2,4937343358396 4,79123711340206 0,6 0,55 0,55 satisfactory sufficient sufficient
GP M 18 U LE3 T 1 1 other other course mother 1 1 2 no no no no yes no yes yes 2 3 5 2 5 4 0 4,16494845360825 2,4937343358396 4,04123711340206 0,55 0,45 0 sufficient fail fail
GP M 16 U LE3 T 2 1 at_home other course mother 1 1 1 no no no yes yes yes no yes 4 4 4 3 5 5 6 3,72164948453608 5,50125313283208 4,68041237113402 0,45 0,5 0,5 fail fail fail
GP F 15 R GT3 T 3 3 services services reputation other 2 3 0 no yes yes yes yes yes yes yes 4 2 1 2 3 3 2 1,27835051546392 2,49874686716792 2,56958762886598 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 19 U GT3 T 3 2 services at_home home mother 1 1 0 no yes no no yes no yes yes 4 5 4 1 1 4 6 3,16494845360825 3,5062656641604 3,79123711340206 0,55 0,45 0,55 sufficient fail sufficient
GP F 17 U GT3 T 4 4 other teacher course mother 1 1 0 yes yes no no yes yes no yes 4 2 1 1 1 4 0 1 0,49874686716792 3,25 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 15 R GT3 T 2 3 at_home services course mother 1 2 0 yes no yes yes yes yes no no 4 4 4 1 1 1 0 3,16494845360825 0,49874686716792 1,54123711340206 0,35 0,4 0,4 fail fail fail
GP M 17 R LE3 T 1 2 other other reputation mother 1 1 3 no no no no yes yes no no 2 2 2 3 3 5 14 2,27835051546392 8,51378446115288 4,31958762886598 0,45 0,4 0,5 fail fail fail
GP F 18 R GT3 T 1 1 at_home other course mother 3 1 3 no yes no yes no yes no no 5 2 5 1 5 4 6 3,88659793814433 5,50125313283208 3,97164948453608 0,55 0,5 0,55 sufficient fail sufficient
GP M 16 R GT3 T 2 2 at_home other course mother 3 1 0 no no no no no yes no no 4 2 2 1 2 3 4 1,72164948453608 3,00250626566416 2,68041237113402 0,6 0,5 0,55 satisfactory fail sufficient
GP M 16 U GT3 T 3 3 other services course father 1 2 1 no yes no no yes yes yes yes 4 5 5 4 4 5 0 4,72164948453608 1,99498746867168 4,93041237113402 0,5 0,5 0,05 fail fail fail
GP M 16 U LE3 T 1 2 health services course mother 2 1 2 no no no no no yes yes no 4 4 5 3 5 5 0 4,44329896907217 2,4937343358396 4,86082474226804 0,45 0,4 0,5 fail fail fail
GP M 17 R LE3 T 2 1 at_home other course mother 2 1 1 no no yes yes yes no yes yes 3 3 2 2 2 5 8 2 5,00751879699248 4,25 0,4 0,4 0,45 fail fail fail
GP M 17 R GT3 T 3 2 other other course mother 2 2 2 yes yes no no yes yes yes yes 4 4 4 1 4 3 4 3,16494845360825 4 3,04123711340206 0,35 0,3 0,4 fail fail fail
GP M 15 U LE3 T 1 2 other other course mother 2 1 0 no no no yes yes yes no no 4 4 4 2 4 5 2 3,44329896907217 2,99749373433584 4,61082474226804 0,4 0,45 0,5 fail fail fail
GP M 16 U GT3 T 1 3 at_home services course father 1 1 1 no no no no yes no yes no 5 3 3 1 4 2 2 2,44329896907217 2,99749373433584 2,11082474226804 0,45 0,4 0,4 fail fail fail
GP M 17 R LE3 T 1 1 other services course mother 4 2 0 no no no yes yes no no yes 5 3 5 1 5 5 0 3,88659793814433 2,4937343358396 4,72164948453608 0,4 0,4 0,4 fail fail fail
GP M 17 U GT3 T 3 2 services services course mother 2 1 3 no yes no yes no no no no 4 5 2 1 1 2 10 1,72164948453608 5,51127819548872 1,93041237113402 0,4 0,35 0,4 fail fail fail
GP M 16 U GT3 T 2 2 other other course father 1 2 0 no no no no yes no yes no 4 3 5 2 4 4 0 4,16494845360825 1,99498746867168 4,04123711340206 0,45 0,5 0,55 fail fail sufficient
GP F 16 U GT3 T 4 2 health services home father 1 2 0 no no no no yes yes yes yes 4 2 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,85 0,85 0,9 good good good
GP F 16 U GT3 T 2 2 other other home mother 1 2 0 no yes no no no yes yes no 5 1 5 1 1 4 0 3,88659793814433 0,49874686716792 3,97164948453608 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 4 4 health health reputation mother 1 2 0 no yes no no yes yes yes yes 4 4 2 1 1 3 0 1,72164948453608 0,49874686716792 2,68041237113402 0,8 0,8 0,85 good good good
GP M 16 U GT3 T 3 4 other other course father 3 1 1 no yes no yes no yes yes no 3 4 5 2 4 2 4 4,16494845360825 4 2,54123711340206 0,45 0,45 0,5 fail fail fail
GP M 16 U GT3 T 1 0 other other reputation mother 2 2 0 no yes no yes yes yes yes yes 4 3 2 1 1 3 0 1,72164948453608 0,49874686716792 2,68041237113402 0,8 0,85 0,9 good good good
GP M 17 U LE3 T 4 4 teacher other reputation mother 1 2 0 no yes no yes yes yes yes no 4 4 4 1 3 5 0 3,16494845360825 1,49624060150376 4,54123711340206 0,55 0,45 0,5 sufficient fail fail
GP F 16 U GT3 T 1 3 at_home services home mother 1 2 0 no no no yes no yes yes yes 4 3 5 1 1 3 0 3,88659793814433 0,49874686716792 3,22164948453608 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 U LE3 T 3 3 other other reputation mother 2 2 0 no yes no yes yes yes yes no 4 4 5 1 1 4 0 3,88659793814433 0,49874686716792 3,97164948453608 0,7 0,7 0,75 satisfactory satisfactory good
GP M 17 U LE3 T 4 3 teacher other course mother 2 2 0 no no no yes yes yes yes no 4 4 4 4 4 4 0 4 1,99498746867168 4 0,5 0,55 0,55 fail sufficient sufficient
GP F 16 U GT3 T 2 2 services other reputation mother 2 2 0 no no no yes no yes yes no 3 4 4 1 4 5 0 3,16494845360825 1,99498746867168 4,54123711340206 0,65 0,6 0,7 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 3 3 other other reputation father 1 2 0 no no no yes no yes yes no 4 3 4 1 4 4 4 3,16494845360825 4 3,79123711340206 0,55 0,45 0,5 sufficient fail fail
GP M 16 R GT3 T 4 2 teacher services other mother 1 1 0 no yes no yes yes yes yes yes 4 3 3 3 4 3 8 3 6,00501253132832 3 0,5 0,45 0,55 fail fail sufficient
GP M 17 U GT3 T 4 3 other other course mother 1 2 0 no yes yes yes yes yes yes yes 5 2 3 1 1 2 4 2,44329896907217 2,50375939849624 2,11082474226804 0,55 0,55 0,65 sufficient sufficient satisfactory
GP M 16 U GT3 T 4 3 teacher other home mother 1 2 0 no yes yes yes yes yes yes no 3 4 3 2 3 3 4 2,72164948453608 3,50125313283208 2,93041237113402 0,55 0,5 0,55 sufficient fail sufficient
GP M 16 U GT3 T 3 3 services other home mother 1 2 0 no no no yes yes yes yes yes 4 2 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,55 0,6 0,65 sufficient satisfactory satisfactory
GP F 17 U GT3 T 2 4 services services reputation father 1 2 0 no yes no yes yes yes no no 5 4 2 2 3 5 0 2 1,49624060150376 4,25 0,85 0,9 0,85 good good good
GP F 17 U LE3 T 3 3 other other reputation mother 1 2 0 no yes no yes yes yes yes yes 5 3 3 2 3 1 32 2,72164948453608 17,5363408521303 1,43041237113402 0,7 0,65 0,7 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 3 2 other other reputation mother 1 2 0 no yes no no yes yes yes no 1 2 2 1 2 1 8 1,72164948453608 5,00751879699248 1,18041237113402 0,7 0,75 0,8 satisfactory good good
GP M 17 U GT3 T 3 3 services services other mother 1 2 0 no yes no yes yes yes yes yes 4 3 4 2 3 4 6 3,44329896907217 4,50375939849624 3,86082474226804 0,55 0,65 0,7 sufficient satisfactory satisfactory
GP M 16 U GT3 T 1 2 services services other mother 1 1 0 no yes no yes yes yes yes yes 3 3 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,5 0,45 0,55 fail fail sufficient
GP M 16 U LE3 T 2 1 other other course mother 1 2 0 no no no yes yes yes yes yes 4 2 3 1 2 5 0 2,44329896907217 0,99749373433584 4,36082474226804 0,65 0,7 0,8 satisfactory satisfactory good
GP F 17 U GT3 A 3 3 health other reputation mother 1 2 0 no yes no no no yes yes yes 3 3 3 1 3 3 10 2,44329896907217 6,50877192982456 2,86082474226804 0,6 0,65 0,7 satisfactory satisfactory satisfactory
GP M 17 R GT3 T 1 2 at_home other home mother 1 2 0 no no no no yes yes no no 3 1 3 1 5 3 6 2,44329896907217 5,50125313283208 2,86082474226804 0,45 0,45 0,5 fail fail fail
GP F 16 U GT3 T 2 3 services services course mother 1 2 0 no no no no yes yes yes no 4 3 3 1 1 2 6 2,44329896907217 3,5062656641604 2,11082474226804 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 1 1 at_home services course mother 1 2 0 no no no yes yes yes yes no 5 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,6 0,55 0,6 satisfactory sufficient satisfactory
GP M 17 U GT3 T 1 2 at_home services other other 2 2 0 no no no yes no yes yes no 4 4 4 4 5 5 16 4 10,5137844611529 4,75 0,5 0,55 0,6 fail sufficient satisfactory
GP M 16 R GT3 T 3 3 services services reputation mother 1 1 0 no yes no yes yes yes yes no 4 3 2 3 4 5 0 2,27835051546392 1,99498746867168 4,31958762886598 0,55 0,5 0,5 sufficient fail fail
GP M 16 U GT3 T 2 3 other other home father 2 1 0 no no no no yes yes yes no 5 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 17 U LE3 T 2 4 services services course father 1 2 0 no no no yes yes yes yes yes 4 3 2 1 1 5 8 1,72164948453608 4,50877192982456 4,18041237113402 0,7 0,75 0,8 satisfactory good good
GP M 17 U GT3 T 4 4 services teacher home mother 1 1 0 no no no no yes yes yes no 5 2 3 1 2 5 4 2,44329896907217 3,00250626566416 4,36082474226804 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP M 16 R LE3 T 3 3 teacher other home father 3 1 0 no yes no yes yes yes yes no 3 3 4 3 5 3 16 3,72164948453608 10,5137844611529 3,18041237113402 0,5 0,55 0,6 fail sufficient satisfactory
GP F 17 U GT3 T 4 4 services teacher home mother 2 1 1 no yes no no yes yes yes no 4 2 4 2 3 2 30 3,44329896907217 16,5338345864662 2,36082474226804 0,7 0,75 0,8 satisfactory good good
GP F 16 U LE3 T 4 4 teacher teacher reputation mother 1 2 0 no yes no no yes yes yes no 4 5 2 1 2 3 0 1,72164948453608 0,99749373433584 2,68041237113402 0,55 0,5 0,55 sufficient fail sufficient
GP F 16 U GT3 T 4 3 health other home mother 1 2 0 no yes no yes yes yes yes no 4 3 5 1 5 2 2 3,88659793814433 3,49624060150376 2,47164948453608 0,7 0,7 0,75 satisfactory satisfactory good
GP F 16 U GT3 T 2 3 other other reputation mother 1 2 0 yes yes no yes yes yes no no 4 4 3 1 3 4 4 2,44329896907217 3,50125313283208 3,61082474226804 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 17 U GT3 T 1 1 other other course mother 1 2 0 no yes no no no yes no no 4 4 4 1 3 1 0 3,16494845360825 1,49624060150376 1,54123711340206 0,7 0,75 0,75 satisfactory good good
GP F 17 R GT3 T 2 2 other other reputation mother 1 1 0 no yes no no yes yes yes no 5 3 2 1 2 3 21 1,72164948453608 11,5238095238095 2,68041237113402 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 16 R GT3 T 2 2 services services reputation mother 2 4 0 no yes no yes no yes yes no 5 3 5 1 1 5 6 3,88659793814433 3,5062656641604 4,72164948453608 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 3 4 at_home services home mother 1 3 1 no yes yes no yes yes yes yes 4 4 3 3 4 5 14 3 9,0125313283208 4,5 0,4 0,45 0,4 fail fail fail
GP F 16 U GT3 A 3 1 services other course mother 1 2 0 no yes no no yes yes yes no 2 3 3 2 2 4 2 2,72164948453608 2 3,68041237113402 0,55 0,55 0,6 sufficient sufficient satisfactory
GP F 16 U GT3 T 4 3 teacher other other mother 1 2 0 no no no yes yes yes yes yes 1 3 2 1 1 1 4 1,72164948453608 2,50375939849624 1,18041237113402 0,7 0,75 0,75 satisfactory good good
GP F 16 U GT3 T 1 1 at_home other home mother 2 1 0 no yes no no yes yes no no 4 3 2 1 4 5 2 1,72164948453608 2,99749373433584 4,18041237113402 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 R GT3 T 4 3 teacher other reputation mother 2 3 0 no yes no yes yes yes yes yes 4 4 2 1 1 4 0 1,72164948453608 0,49874686716792 3,43041237113402 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 19 U GT3 T 3 3 other other reputation other 1 4 0 no yes no yes yes yes yes no 4 3 3 1 2 3 4 2,44329896907217 3,00250626566416 2,86082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP M 17 U LE3 T 4 4 services other home mother 1 2 0 no yes no no yes yes yes yes 5 3 5 4 5 3 15 4,72164948453608 10,0125313283208 3,43041237113402 0,65 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U GT3 A 2 2 other other reputation mother 1 2 0 yes yes no no yes yes yes no 3 3 4 1 1 4 0 3,16494845360825 0,49874686716792 3,79123711340206 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 18 U GT3 T 2 2 services other home mother 1 2 0 no yes no yes yes yes yes no 4 4 4 2 4 5 10 3,44329896907217 7,00751879699248 4,61082474226804 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 17 R LE3 T 4 4 services other other mother 1 1 0 no yes no no yes yes no no 5 2 1 1 2 3 6 1 4,00501253132832 2,5 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 17 U LE3 T 3 2 other other reputation mother 2 2 0 no no no no yes yes yes no 4 4 4 1 3 1 2 3,16494845360825 2,49874686716792 1,54123711340206 0,7 0,8 0,75 satisfactory good good
GP F 17 U GT3 T 4 3 other other reputation mother 1 2 0 no no no no yes yes yes yes 3 4 5 2 4 1 16 4,16494845360825 10,015037593985 1,79123711340206 0,55 0,45 0,5 sufficient fail fail
GP M 18 U LE3 T 3 3 services health home father 1 2 0 no yes no no yes yes yes no 3 2 4 2 4 4 10 3,44329896907217 7,00751879699248 3,86082474226804 0,5 0,5 0,5 fail fail fail
GP F 17 U GT3 T 2 3 at_home other home father 2 1 0 no yes no no yes yes no no 3 3 3 1 4 3 4 2,44329896907217 4 2,86082474226804 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 2 2 at_home at_home course mother 1 3 0 no yes no yes yes yes yes no 4 3 3 1 1 4 0 2,44329896907217 0,49874686716792 3,61082474226804 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 R GT3 T 2 1 at_home services reputation mother 2 2 0 no yes no yes yes yes yes no 4 2 5 1 2 5 0 3,88659793814433 0,99749373433584 4,72164948453608 0,55 0,5 0,55 sufficient fail sufficient
GP F 17 U GT3 T 1 1 at_home other reputation mother 1 3 0 no yes no yes yes yes no yes 4 3 4 1 1 5 12 3,16494845360825 6,51378446115288 4,54123711340206 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP F 16 U GT3 T 2 3 services teacher other mother 1 2 0 yes no no no yes yes yes no 2 3 1 1 1 3 0 1 0,49874686716792 2,5 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP M 18 U GT3 T 2 2 other other home mother 2 2 3 no yes yes no yes yes yes no 3 3 3 5 5 4 9 3,55670103092783 7,00501253132832 3,88917525773196 0,5 0,45 0,5 fail fail fail
GP F 16 U GT3 T 4 4 teacher services home mother 1 3 0 no yes no yes no yes yes no 5 3 2 1 1 5 4 1,72164948453608 2,50375939849624 4,18041237113402 0,75 0,8 0,8 good good good
GP F 18 R GT3 T 3 1 other other reputation mother 1 2 0 no no no yes yes yes yes yes 5 3 3 1 1 4 4 2,44329896907217 2,50375939849624 3,61082474226804 0,4 0,4 0,4 fail fail fail
GP F 17 U GT3 T 3 2 other other course mother 1 2 0 no no no yes no yes yes no 5 3 4 1 3 3 2 3,16494845360825 2,49874686716792 3,04123711340206 0,85 0,9 0,85 good good good
GP M 17 U LE3 T 2 3 services services reputation father 1 2 0 no yes no no no yes yes no 5 3 3 1 3 3 0 2,44329896907217 1,49624060150376 2,86082474226804 0,5 0,55 0,55 fail sufficient sufficient
GP M 18 U LE3 T 2 1 at_home other course mother 4 2 0 yes yes no yes yes yes yes yes 4 3 2 4 5 3 2 2,55670103092783 3,49624060150376 2,88917525773196 0,45 0,5 0,55 fail fail sufficient
GP F 17 U GT3 A 2 1 other other course mother 2 3 0 no no no yes yes yes yes yes 3 2 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,75 0,75 0,8 good good good
GP F 17 U LE3 T 4 3 health other reputation father 1 2 0 no no no yes yes yes yes yes 3 2 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,7 0,6 0,6 satisfactory satisfactory satisfactory
GP M 17 R GT3 T 2 2 other other course father 2 2 0 no yes no yes yes yes yes no 4 5 2 1 1 1 0 1,72164948453608 0,49874686716792 1,18041237113402 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 4 4 teacher teacher reputation mother 1 2 0 yes yes no yes yes yes yes yes 4 5 5 1 3 2 0 3,88659793814433 1,49624060150376 2,47164948453608 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 16 U GT3 T 4 4 health other reputation father 1 2 0 no yes no yes yes yes yes no 4 2 4 2 4 1 0 3,44329896907217 1,99498746867168 1,61082474226804 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP M 16 U LE3 T 1 1 other other home mother 2 2 0 no yes no no yes yes yes no 3 4 2 1 1 5 2 1,72164948453608 1,50125313283208 4,18041237113402 0,45 0,45 0,45 fail fail fail
GP M 16 U GT3 T 3 2 at_home other reputation mother 2 3 0 no no no yes yes yes yes yes 5 3 3 1 3 2 0 2,44329896907217 1,49624060150376 2,11082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP M 17 U LE3 T 2 2 other other home father 1 2 0 no no no yes no yes yes yes 4 4 2 5 5 4 0 2,83505154639175 2,4937343358396 3,70876288659794 0,8 0,8 0,8 good good good
GP F 16 U GT3 T 2 1 other other home mother 1 1 0 no no no no yes yes yes yes 4 5 2 1 1 5 4 1,72164948453608 2,50375939849624 4,18041237113402 0,45 0,5 0,5 fail fail fail
GP F 16 U GT3 A 4 1 other other home mother 1 2 0 no no no yes yes yes yes yes 5 3 3 1 2 5 0 2,44329896907217 0,99749373433584 4,36082474226804 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 18 U LE3 A 2 4 services other course mother 2 2 1 no yes no no yes yes yes no 4 3 3 1 1 3 18 2,44329896907217 9,52130325814536 2,86082474226804 0,5 0,5 0,5 fail fail fail
GP F 18 U LE3 T 2 2 at_home services course mother 1 2 1 no yes no no no yes yes yes 5 3 1 1 1 5 16 1 8,5187969924812 4 0,45 0,4 0,5 fail fail fail
GP F 18 U GT3 T 3 3 other other course mother 2 1 1 no no no no yes no yes no 4 1 1 1 1 3 14 1 7,51629072681704 2,5 0,4 0,35 0,35 fail fail fail
GP M 18 U GT3 T 2 2 other at_home course other 1 1 1 no yes no yes no no yes yes 4 4 3 2 2 1 26 2,72164948453608 14,0300751879699 1,43041237113402 0,35 0,4 0,4 fail fail fail
GP M 17 U GT3 T 4 4 teacher teacher course mother 1 1 0 no yes no yes no yes yes no 4 2 1 1 2 5 6 1 4,00501253132832 4 0,5 0,4 0,45 fail fail fail
GP F 17 U GT3 T 3 2 other other course father 1 2 0 no no no yes yes yes no no 5 4 2 1 1 3 4 1,72164948453608 2,50375939849624 2,68041237113402 0,7 0,7 0,75 satisfactory satisfactory good
GP F 17 U LE3 T 1 1 at_home at_home course mother 1 3 0 no yes no yes yes yes yes yes 4 3 2 1 2 4 10 1,72164948453608 6,01002506265664 3,43041237113402 0,55 0,5 0,5 sufficient fail fail
GP F 16 U GT3 T 1 2 other other course mother 1 1 0 no no no no yes no yes no 5 3 5 1 2 5 4 3,88659793814433 3,00250626566416 4,72164948453608 0,6 0,55 0,55 satisfactory sufficient sufficient
GP F 17 R GT3 T 2 1 at_home services course mother 3 2 0 no no no yes yes yes no no 2 1 1 1 1 3 2 1 1,50125313283208 2,5 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 R LE3 A 1 4 other other course other 4 1 1 no yes no no yes yes yes no 5 5 4 1 1 5 14 3,16494845360825 7,51629072681704 4,54123711340206 0,45 0,45 0,4 fail fail fail
GP M 18 U GT3 T 2 2 other services reputation father 1 2 0 no no no no yes no yes no 5 5 4 3 5 2 16 3,72164948453608 10,5137844611529 2,43041237113402 0,4 0,35 0,4 fail fail fail
GP F 17 U LE3 A 2 2 other other home mother 1 1 1 no yes no no no no yes no 3 1 2 1 1 1 8 1,72164948453608 4,50877192982456 1,18041237113402 0,55 0,45 0,5 sufficient fail fail
